Date : 2025-03-26 00:03:26
Directory : /home/alberic/Documents/Cours/ramio_project
Total : 469 files,  42363 codes, 2573 comments, 5735 blanks, all 50671 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| HTML       |        218 |     25,707 |      1,469 |      1,472 |     28,648 |
| LaTeX      |        121 |      8,022 |         18 |      3,217 |     11,257 |
| TeX        |          3 |      3,298 |        219 |         67 |      3,584 |
| C++        |         20 |      1,918 |        614 |        432 |      2,964 |
| JavaScript |        102 |      1,692 |        164 |        182 |      2,038 |
| CSS        |          3 |      1,627 |         89 |        330 |      2,046 |
| Markdown   |          1 |         77 |          0 |         26 |        103 |
| CMake      |          1 |         22 |          0 |          9 |         31 |
+------------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                              | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                 |        469 |     42,363 |      2,573 |      5,735 |     50,671 |
| . (Files)                                                                                         |          2 |         99 |          0 |         35 |        134 |
| html                                                                                              |        323 |     29,026 |      1,722 |      1,984 |     32,732 |
| html (Files)                                                                                      |        127 |     25,286 |        793 |      1,673 |     27,752 |
| html/search                                                                                       |        196 |      3,740 |        929 |        311 |      4,980 |
| include                                                                                           |          9 |        407 |         97 |        140 |        644 |
| latex                                                                                             |        124 |     11,320 |        237 |      3,284 |     14,841 |
| src                                                                                               |         11 |      1,511 |        517 |        292 |      2,320 |
+---------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+---------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                          | language   | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| /home/alberic/Documents/Cours/ramio_project/CMakeLists.txt                                        | CMake      |         22 |          0 |          9 |         31 |
| /home/alberic/Documents/Cours/ramio_project/README.md                                             | Markdown   |         77 |          0 |         26 |        103 |
| /home/alberic/Documents/Cours/ramio_project/html/Animation_8cpp.html                              | HTML       |         88 |          5 |          3 |         96 |
| /home/alberic/Documents/Cours/ramio_project/html/Animation_8cpp_source.html                       | HTML       |        112 |          5 |          3 |        120 |
| /home/alberic/Documents/Cours/ramio_project/html/Animation_8h.html                                | HTML       |        115 |          5 |          3 |        123 |
| /home/alberic/Documents/Cours/ramio_project/html/Animation_8h_source.html                         | HTML       |        119 |          5 |          3 |        127 |
| /home/alberic/Documents/Cours/ramio_project/html/Audio_8cpp.html                                  | HTML       |        128 |          5 |         11 |        144 |
| /home/alberic/Documents/Cours/ramio_project/html/Audio_8cpp_source.html                           | HTML       |        215 |          5 |          3 |        223 |
| /home/alberic/Documents/Cours/ramio_project/html/Audio_8h.html                                    | HTML       |        107 |          5 |          3 |        115 |
| /home/alberic/Documents/Cours/ramio_project/html/Audio_8h_source.html                             | HTML       |        143 |          5 |          3 |        151 |
| /home/alberic/Documents/Cours/ramio_project/html/Bloc_8cpp.html                                   | HTML       |        105 |          5 |          3 |        113 |
| /home/alberic/Documents/Cours/ramio_project/html/Bloc_8cpp_source.html                            | HTML       |        265 |          5 |          3 |        273 |
| /home/alberic/Documents/Cours/ramio_project/html/Bloc_8h.html                                     | HTML       |        162 |          5 |          6 |        173 |
| /home/alberic/Documents/Cours/ramio_project/html/Bloc_8h_source.html                              | HTML       |        246 |          5 |          3 |        254 |
| /home/alberic/Documents/Cours/ramio_project/html/Ennemi_8cpp.html                                 | HTML       |        100 |          5 |          3 |        108 |
| /home/alberic/Documents/Cours/ramio_project/html/Ennemi_8cpp_source.html                          | HTML       |        208 |          5 |          3 |        216 |
| /home/alberic/Documents/Cours/ramio_project/html/Ennemi_8h.html                                   | HTML       |        124 |          5 |          3 |        132 |
| /home/alberic/Documents/Cours/ramio_project/html/Ennemi_8h_source.html                            | HTML       |        134 |          5 |          3 |        142 |
| /home/alberic/Documents/Cours/ramio_project/html/Entity_8cpp.html                                 | HTML       |         89 |          5 |          3 |         97 |
| /home/alberic/Documents/Cours/ramio_project/html/Entity_8cpp_source.html                          | HTML       |        159 |          5 |          3 |        167 |
| /home/alberic/Documents/Cours/ramio_project/html/Entity_8h.html                                   | HTML       |        128 |          5 |          3 |        136 |
| /home/alberic/Documents/Cours/ramio_project/html/Entity_8h_source.html                            | HTML       |        180 |          5 |          3 |        188 |
| /home/alberic/Documents/Cours/ramio_project/html/FinJeu_8cpp.html                                 | HTML       |         89 |          5 |          3 |         97 |
| /home/alberic/Documents/Cours/ramio_project/html/FinJeu_8cpp_source.html                          | HTML       |        201 |          5 |          3 |        209 |
| /home/alberic/Documents/Cours/ramio_project/html/FinJeu_8h.html                                   | HTML       |        105 |          5 |          3 |        113 |
| /home/alberic/Documents/Cours/ramio_project/html/FinJeu_8h_source.html                            | HTML       |        137 |          5 |          3 |        145 |
| /home/alberic/Documents/Cours/ramio_project/html/Level_8cpp.html                                  | HTML       |        132 |          5 |          7 |        144 |
| /home/alberic/Documents/Cours/ramio_project/html/Level_8cpp_source.html                           | HTML       |        553 |          5 |          3 |        561 |
| /home/alberic/Documents/Cours/ramio_project/html/Level_8h.html                                    | HTML       |        129 |          5 |          3 |        137 |
| /home/alberic/Documents/Cours/ramio_project/html/Level_8h_source.html                             | HTML       |        206 |          5 |          3 |        214 |
| /home/alberic/Documents/Cours/ramio_project/html/Menu_8cpp.html                                   | HTML       |         92 |          5 |          3 |        100 |
| /home/alberic/Documents/Cours/ramio_project/html/Menu_8cpp_source.html                            | HTML       |        330 |          5 |          3 |        338 |
| /home/alberic/Documents/Cours/ramio_project/html/Menu_8h.html                                     | HTML       |        153 |          5 |          6 |        164 |
| /home/alberic/Documents/Cours/ramio_project/html/Menu_8h_source.html                              | HTML       |        177 |          5 |          3 |        185 |
| /home/alberic/Documents/Cours/ramio_project/html/Player_8cpp.html                                 | HTML       |        128 |          5 |          7 |        140 |
| /home/alberic/Documents/Cours/ramio_project/html/Player_8cpp_source.html                          | HTML       |        494 |          5 |          3 |        502 |
| /home/alberic/Documents/Cours/ramio_project/html/Player_8h.html                                   | HTML       |        131 |          5 |          3 |        139 |
| /home/alberic/Documents/Cours/ramio_project/html/Player_8h_source.html                            | HTML       |        236 |          5 |          3 |        244 |
| /home/alberic/Documents/Cours/ramio_project/html/annotated.html                                   | HTML       |         92 |          5 |          3 |        100 |
| /home/alberic/Documents/Cours/ramio_project/html/classAnimation-members.html                      | HTML       |         82 |          5 |          4 |         91 |
| /home/alberic/Documents/Cours/ramio_project/html/classAnimation.html                              | HTML       |        411 |          5 |         38 |        454 |
| /home/alberic/Documents/Cours/ramio_project/html/classAudioManager-members.html                   | HTML       |         93 |          5 |          4 |        102 |
| /home/alberic/Documents/Cours/ramio_project/html/classAudioManager.html                           | HTML       |        716 |          5 |         80 |        801 |
| /home/alberic/Documents/Cours/ramio_project/html/classBloc-members.html                           | HTML       |         82 |          5 |          4 |         91 |
| /home/alberic/Documents/Cours/ramio_project/html/classBloc.html                                   | HTML       |        424 |          5 |         36 |        465 |
| /home/alberic/Documents/Cours/ramio_project/html/classBlocMystere-members.html                    | HTML       |         97 |          5 |          4 |        106 |
| /home/alberic/Documents/Cours/ramio_project/html/classBlocMystere.html                            | HTML       |        528 |          5 |         54 |        587 |
